customer id,gender,age,annual income(k$),score
17403,Male,56,56,32
11208,Male,67,64,30
11634,Female,47,56,32
17249,Male,44,74,61
17360,Male,37,74,61
19043,Male,24,20,20
18578,Male,63,56,30
16806,Male,46,56,32
19818,Female,55,56,32
18216,Male,70,64,30
15970,Male,22,67,67
11322,Male,56,56,32
11159,Male,29,47,99
19421,Male,22,99,99
16165,Female,18,63,63
11528,Male,68,64,30
12352,Male,47,56,32
17152,Female,35,47,61
18252,Male,69,64,30
13451,Male,23,33,33
11244,Female,23,86,86
14639,Male,18,46,46
13383,Male,39,74,61
17400,Male,63,56,30
15422,Male,40,74,61
17555,Male,25,47,47
18642,Male,20,97,97
13479,Male,48,56,32
18856,Male,37,74,61
16897,Male,52,56,32
17148,Male,52,56,32
12978,Female,58,56,32
19705,Male,40,74,61
12766,Female,23,137,27
11072,Male,49,56,32
18917,Male,37,74,61
19127,Male,22,74,74
11647,Male,29,47,43
11520,Female,59,56,32
19016,Male,35,47,61
15785,Female,30,47,44
17430,Male,47,56,32
13056,Male,69,64,30
16675,Male,23,85,85
12747,Male,20,57,57
14448,Male,31,47,61
19983,Male,46,56,32
13584,Female,36,74,61
19393,Female,27,47,44
11755,Male,30,47,27
17539,Male,58,56,32
19028,Male,39,74,61
19660,Male,20,79,79
15919,Male,55,56,32
13500,Male,43,74,61
10847,Female,35,47,61
10824,Male,34,47,61
12336,Male,54,56,32
15758,Male,49,56,32
16476,Male,55,56,32
17347,Male,27,47,67
17391,Male,68,64,30
12884,Female,36,74,61
15217,Male,45,74,61
18398,Male,36,74,61
13681,Male,31,47,61
15915,Female,26,47,40
11719,Male,67,64,30
14948,Male,51,56,32
13450,Male,23,24,24
16017,Male,36,74,61
16105,Male,35,47,61
10988,Female,47,56,32
14912,Female,51,56,32
19409,Male,28,47,33
14326,Male,25,25,25
14515,Male,37,74,61
15587,Male,56,56,32
19218,Male,31,47,61
19905,Male,34,47,61
18194,Male,58,56,32
15239,Female,65,56,30
13606,Male,42,74,61
19514,Female,26,47,64
15505,Male,48,56,32
12890,Male,67,64,30
16678,Female,44,74,61
15491,Female,20,87,87
14215,Male,44,74,61
13365,Male,53,56,32
15879,Male,24,113,27
11966,Male,18,49,49
18114,Male,29,47,27
12194,Male,69,64,30
10817,Male,38,74,61
14421,Male,45,74,61
16045,Male,26,47,43
19940,Female,37,74,61
16533,Male,25,47,47
18440,Male,45,74,61
17253,Male,20,47,47
19261,Male,36,74,61
19710,Male,63,56,30
16029,Male,46,56,32
15310,Male,32,47,61
19754,Male,40,74,61
14079,Male,48,56,32
15922,Male,58,56,32
13344,Male,60,56,32
17502,Male,67,64,30
11354,Male,65,56,30
18708,Male,69,64,30
15061,Male,30,47,40
11707,Female,20,81,81
15601,Male,23,40,40
13315,Male,55,56,32
19804,Male,39,74,61
19950,Male,34,47,61
17606,Male,23,24,24
13118,Male,23,61,61
17511,Female,37,74,61
17911,Male,35,47,61
18374,Male,44,74,61
11004,Female,37,74,61
16618,Male,45,74,61
16175,Female,24,77,77
12130,Male,47,56,32
15796,Male,35,47,61
14791,Male,19,103,27
14915,Male,58,56,32
14409,Male,38,74,61
16321,Male,48,56,32
14925,Male,22,57,57
18204,Male,39,74,61
17469,Male,52,56,32
14928,Male,66,64,30
18794,Male,33,47,61
13102,Male,68,64,30
18010,Male,43,74,61
15583,Female,55,56,32
12537,Male,18,69,69
14647,Male,46,56,32
14857,Male,56,56,32
13442,Male,57,56,32
17876,Male,20,40,40
15525,Female,28,47,17
13540,Male,41,74,61
12790,Male,44,74,61
16530,Male,43,74,61
10937,Male,27,47,69
15272,Male,23,62,62
14945,Male,32,47,61
12079,Male,39,74,61
19358,Male,29,47,78
14657,Female,18,21,21
18880,Female,51,56,32
13167,Male,54,56,32
15378,Male,64,56,30
18540,Female,51,56,32
19252,Male,27,47,71
15644,Female,24,37,37
16755,Female,43,74,61
13993,Female,37,74,61
18655,Male,24,103,27
13926,Male,60,56,32
12950,Male,41,74,61
14452,Male,55,56,32
13885,Female,41,74,61
11968,Female,32,47,61
16960,Male,60,56,32
14727,Male,41,74,61
19581,Female,56,56,32
18556,Male,34,47,61
15980,Male,32,47,61
12287,Female,28,47,34
14645,Male,49,56,32
13638,Male,69,64,30
18045,Female,23,101,27
19951,Female,46,56,32
15323,Female,49,56,32
14579,Female,29,47,54
16457,Male,53,56,32
18453,Female,39,74,61
19018,Male,56,56,32
15977,Male,47,56,32
10812,Male,40,74,61
19369,Male,56,56,32
17730,Male,57,56,32
13233,Male,33,47,61
17171,Male,26,47,79
17944,Male,20,78,78
13728,Male,23,98,98
14573,Male,24,65,65
12687,Male,52,56,32
12338,Male,54,56,32
17942,Female,66,64,30
11888,Male,28,47,61
11728,Male,59,56,32
17241,Male,28,47,99
18224,Female,44,74,61
13436,Male,32,47,61
17221,Male,70,64,30
19002,Male,59,56,32
11209,Male,53,56,32
11465,Male,56,56,32
16221,Female,66,64,30
13709,Male,47,56,32
13794,Female,23,86,86
16522,Female,47,56,32
18612,Male,40,74,61
12268,Male,53,56,32
17603,Male,56,56,32
12051,Female,65,56,30
11752,Male,49,56,32
19837,Male,67,64,30
14746,Male,35,47,61
12455,Male,51,56,32
12289,Male,40,74,61
15182,Male,68,64,30
19159,Male,36,74,61
12369,Male,32,47,61
13041,Male,31,47,61
11765,Male,30,47,44
11485,Male,58,56,32
11059,Male,60,56,32
18218,Female,59,56,32
17263,Male,59,56,32
13099,Female,23,64,64
18245,Male,35,47,61
19956,Male,43,74,61
14760,Male,56,56,32
16209,Female,60,56,32
18390,Male,64,56,30
16586,Male,19,79,79
18414,Female,41,74,61
17080,Male,29,47,37
19616,Male,22,70,70
17669,Male,41,74,61
16730,Male,24,38,38
19281,Male,24,97,97
16275,Male,39,74,61
14922,Female,52,56,32
15127,Male,42,74,61
13755,Female,53,56,32
18896,Female,60,56,32
16499,Male,53,56,32
15943,Male,41,74,61
11246,Male,50,56,32
19021,Female,56,56,32
16963,Male,45,74,61
19437,Male,66,64,30
12639,Male,37,74,61
11688,Male,58,56,32
11501,Female,41,74,61
19452,Male,48,56,32
12358,Male,30,47,93
11318,Male,53,56,32
10882,Female,49,56,32
15288,Male,27,47,49
13280,Male,20,70,70
17361,Male,64,56,30
12101,Female,40,74,61
12361,Male,63,56,30
17198,Female,67,64,30
12838,Male,49,56,32
11023,Male,33,47,61
19303,Male,32,47,61
19146,Male,55,56,32
16437,Female,40,74,61
15862,Male,64,56,30
14068,Male,31,47,61
18706,Male,48,56,32
19595,Male,18,28,28
18168,Female,52,56,32
11701,Female,50,56,32
17001,Male,64,56,30
13522,Male,68,64,30
19004,Female,18,126,27
19802,Male,67,64,30
10816,Male,30,47,39
16765,Male,42,74,61
17043,Female,63,56,30
14261,Male,41,74,61
17883,Male,43,74,61
13488,Male,32,47,61
14637,Female,45,74,61
11080,Male,56,56,32
17438,Male,54,56,32
13312,Female,69,64,30
17851,Male,23,71,71
16646,Male,21,64,64
11570,Male,23,97,97
16550,Male,27,47,74
17233,Female,47,56,32
